iter	Passed	Remaining
618	5350	3293
619	5354	3282
620	5367	3275
621	5369	3263
622	5375	3252
623	5378	3240
624	5390	3234
625	5392	3221
626	5398	3211
627	5403	3200
628	5411	3191
629	5413	3179
630	5416	3167
631	5418	3155
632	5420	3142
633	5423	3130
634	5433	3123
635	5451	3120
636	5455	3108
637	5464	3100
638	5470	3090
639	5477	3081
640	5491	3075
641	5494	3063
642	5496	3051
643	5498	3039
644	5501	3027
645	5518	3023
646	5522	3013
647	5525	3001
648	5536	2994
649	5539	2982
650	5541	2970
651	5544	2959
652	5565	2957
653	5567	2945
654	5569	2933
655	5571	2921
656	5574	2910
657	5576	2898
658	5621	2909
659	5624	2897
660	5626	2885
661	5628	2873
662	5633	2863
663	5635	2851
664	5637	2840
665	5640	2828
666	5647	2819
667	5649	2807
668	5651	2796
669	5654	2784
670	5656	2773
671	5658	2762
672	5661	2750
673	5663	2739
674	5665	2727
675	5668	2716
676	5694	2717
677	5702	2708
678	5704	2697
679	5707	2685
680	5731	2684
681	5733	2673
682	5737	2662
683	5739	2651
684	5741	2640
685	5744	2629
686	5746	2618
687	5748	2607
688	5751	2595
689	5754	2585
690	5756	2574
691	5758	2563
692	5783	2562
693	5785	2551
694	5787	2540
695	5790	2529
696	5792	2518
697	5794	2507
698	5797	2496
699	5799	2485
700	5801	2474
701	5806	2464
702	5829	2462
703	5832	2452
704	5853	2449
705	5856	2438
706	5858	2427
707	5863	2418
708	5865	2407
709	5868	2396
710	5874	2387
711	5876	2377
712	5884	2368
713	5886	2358
714	5900	2351
715	5902	2341
716	5904	2330
717	5923	2326
718	5926	2316
719	5928	2305
720	5941	2299
721	5944	2288
722	5946	2278
723	5948	2267
724	5953	2258
725	5956	2247
726	5965	2240
727	5968	2229
728	5970	2219
729	5972	2209
730	5975	2198
731	5977	2188
732	5979	2178
733	5982	2167
734	5984	2157
735	5987	2147
736	5989	2137
737	5992	2127
738	5994	2117
739	6004	2109
740	6006	2099
741	6009	2089
742	6011	2079
743	6013	2069
744	6016	2059
745	6035	2055
746	6038	2045
747	6041	2035
748	6043	2025
749	6045	2015
750	6047	2005
751	6050	1995
752	6052	1985
753	6054	1975
754	6057	1965
755	6072	1959
756	6075	1950
757	6094	1945
758	6106	1939
